,i1_25,a1,a_avg,v_ctat_25,a_ctat,i1_err_max,i1_err_min,i2_err_max,i2_err_min,v_ctat_err_max,v_ctat_err_min,name,type,time,OK
0,2.146719,7.15576,7.131237,707.7487,-1.79091,4.2216070000000006,-35.228,4.225999,-35.2518,0.1757211,-4.55909,dc_LayGtKfsTlVh,Lay,Sat Mar 21 21:12:52 2026,False
1,2.2552149999999997,7.688406,7.6779589999999995,708.111,-1.79689,7.630505,-23.779500000000002,7.632649,-23.798,0.2378428,-4.42546,dc_LayGtKsfTlVh,Lay,Sat Mar 21 21:12:41 2026,False
2,2.544351,8.577115,8.552222,707.8462,-1.79641,6.240545,-36.13,6.245302000000001,-36.155899999999995,0.1898313,-4.43374,dc_LayGtKffTlVh,Lay,Sat Mar 21 21:12:27 2026,False
3,1.9381519999999999,6.515301,6.504766,708.2270000000001,-1.78076,5.148817,-29.151699999999998,5.150937,-29.1665,0.216361,-4.67847,dc_LayGtKssTlVh,Lay,Sat Mar 21 21:12:14 2026,True
4,2.146719,7.15576,7.131237,707.7487,-1.79091,4.2216070000000006,-35.228,4.225999,-35.2518,0.1757211,-4.55909,dc_LayGtKfsThVh,Lay,Sat Mar 21 21:12:01 2026,False
5,2.2552149999999997,7.688406,7.6779589999999995,708.111,-1.79689,7.630505,-23.779500000000002,7.632649,-23.798,0.2378428,-4.42546,dc_LayGtKsfThVh,Lay,Sat Mar 21 21:11:46 2026,False
6,2.544351,8.577115,8.552222,707.8462,-1.79641,6.240545,-36.13,6.245302000000001,-36.155899999999995,0.1898313,-4.43374,dc_LayGtKffThVh,Lay,Sat Mar 21 21:11:32 2026,False
7,1.9381519999999999,6.515301,6.504766,708.2270000000001,-1.78076,5.148817,-29.151699999999998,5.150937,-29.1665,0.216361,-4.67847,dc_LayGtKssThVh,Lay,Sat Mar 21 21:11:17 2026,True
8,2.187549,7.051113,7.009831,705.8532,-1.79976,7.840386,-40.2462,7.849711,-40.2877,0.2446509,-4.56437,dc_LayGtKfsTlVl,Lay,Sat Mar 21 21:11:00 2026,False
9,2.360939,8.497568000000001,8.474307000000001,706.2312,-1.7833599999999998,43.48637,-108.631,43.45532,-108.654,0.0,-6.63844,dc_LayGtKsfTlVl,Lay,Sat Mar 21 21:10:47 2026,False
10,2.6152949999999997,8.391149,8.347254,705.9803,-1.8080100000000001,11.50019,-33.2875,11.50995,-33.3328,0.2600599,-4.19336,dc_LayGtKffTlVl,Lay,Sat Mar 21 21:10:34 2026,False
11,2.004908,6.732977,6.711064,706.255,-1.7811700000000001,8.289105,-50.908899999999996,8.26409,-50.9313,0.1656064,-5.215929999999999,dc_LayGtKssTlVl,Lay,Sat Mar 21 21:10:18 2026,False
12,2.187549,7.051113,7.009831,705.8532,-1.79976,7.840386,-40.2462,7.849711,-40.2877,0.2446509,-4.56437,dc_LayGtKfsThVl,Lay,Sat Mar 21 21:09:55 2026,False
13,2.360939,8.497568000000001,8.474307000000001,706.2312,-1.7833599999999998,43.48637,-108.631,43.45532,-108.654,0.0,-6.63844,dc_LayGtKsfThVl,Lay,Sat Mar 21 21:09:25 2026,False
14,2.6152949999999997,8.391149,8.347254,705.9803,-1.8080100000000001,11.50019,-33.2875,11.50995,-33.3328,0.2600599,-4.19336,dc_LayGtKffThVl,Lay,Sat Mar 21 21:09:03 2026,False
15,2.004908,6.732977,6.711064,706.255,-1.7811700000000001,8.289105,-50.908899999999996,8.26409,-50.9313,0.1656064,-5.215929999999999,dc_LayGtKssThVl,Lay,Sat Mar 21 21:08:41 2026,False
