,i1_25,a1,a_avg,v_ctat_25,a_ctat,i1_err_max,i1_err_min,i2_err_max,i2_err_min,v_ctat_err_max,v_ctat_err_min,name,type,time,OK
0,2.533887,8.300014,8.274522,706.2491,-1.77891,2.726516,-75.8111,2.888958,-73.3756,0.1479554,-5.5658199999999995,dc_LayGtKttmmTtVt_29,Lay,Sat Mar 21 21:14:19 2026,False
1,1.85835,7.935204,7.970596,696.8931,-1.7759900000000002,1.662834,-66.3617,1.8581210000000001,-61.648199999999996,0.1195227,-5.94495,dc_LayGtKttmmTtVt_28,Lay,Sat Mar 21 21:14:13 2026,False
2,1.9612829999999999,8.032250999999999,8.013499999999999,700.106,-1.77273,0.4162315,-122.54200000000002,0.32146579999999997,-117.991,0.004106389,-7.707450000000001,dc_LayGtKttmmTtVt_27,Lay,Sat Mar 21 21:14:07 2026,False
3,1.896099,6.740619,6.7631120000000005,703.4724,-1.80883,3.6574519999999997,-30.4833,3.478841,-31.682699999999997,0.1744137,-4.615130000000001,dc_LayGtKttmmTtVt_26,Lay,Sat Mar 21 21:14:00 2026,False
4,2.299666,7.638559,7.612674,709.4783,-1.79331,0.9866207,-65.4261,0.8787557,-64.2102,0.1033062,-5.405,dc_LayGtKttmmTtVt_25,Lay,Sat Mar 21 21:13:54 2026,False
5,2.164015,6.80598,6.807548000000001,711.7823,-1.81,6.140567,-24.0205,6.047822,-23.6236,0.2055994,-4.178979999999999,dc_LayGtKttmmTtVt_24,Lay,Sat Mar 21 21:13:48 2026,True
6,2.216273,5.920781,5.879327,710.8729999999999,-1.84132,34.618900000000004,-9.10629,34.36185,-8.69109,0.4810077,-2.44511,dc_LayGtKttmmTtVt_23,Lay,Sat Mar 21 21:13:41 2026,False
7,2.5887260000000003,6.205299,6.2159070000000005,717.2455,-1.82831,82.93535,-21.880499999999998,81.78707,-21.820700000000002,1.0698210000000001,-1.9375600000000002,dc_LayGtKttmmTtVt_22,Lay,Sat Mar 21 21:13:35 2026,False
8,2.040312,8.423869,8.434958,699.2106,-1.76649,0.0008530593,-114.902,0.0,-119.99999999999999,0.02485268,-7.35171,dc_LayGtKttmmTtVt_21,Lay,Sat Mar 21 21:13:29 2026,False
9,1.728297,7.6271759999999995,7.678085,693.5541,-1.77996,0.05964763,-74.3065,0.06556493,-74.395,0.05751212,-6.4651,dc_LayGtKttmmTtVt_20,Lay,Sat Mar 21 21:13:23 2026,False
10,2.581269,6.938356,6.903639,712.7145,-1.81101,46.81665,-23.384700000000002,45.447700000000005,-21.7548,0.6935548,-2.46569,dc_LayGtKttmmTtVt_19,Lay,Sat Mar 21 21:13:16 2026,False
11,2.390251,6.591674,6.580785,707.7076,-1.81691,25.60908,-16.352,24.71339,-15.270800000000001,0.4355489,-3.1274200000000003,dc_LayGtKttmmTtVt_18,Lay,Sat Mar 21 21:13:10 2026,False
12,2.301665,6.428622000000001,6.406542,711.579,-1.8260399999999999,29.944799999999997,-13.779,28.839109999999998,-13.2937,0.4826537,-2.79685,dc_LayGtKttmmTtVt_17,Lay,Sat Mar 21 21:13:03 2026,False
13,2.213067,7.945044,7.890723,702.0973,-1.7847600000000001,0.5706271,-76.8672,0.5953652,-74.50999999999999,0.09003475999999999,-5.85262,dc_LayGtKttmmTtVt_16,Lay,Sat Mar 21 21:12:57 2026,False
14,2.09698,6.96991,6.962948,707.1184000000001,-1.80813,17.60814,-18.5614,18.295460000000002,-19.852,0.3844373,-3.61496,dc_LayGtKttmmTtVt_15,Lay,Sat Mar 21 21:12:48 2026,True
15,2.616021,6.770198,6.7160269999999995,715.4011999999999,-1.81757,52.99154,-20.0012,54.16751,-18.8979,0.7378659,-2.15342,dc_LayGtKttmmTtVt_14,Lay,Sat Mar 21 21:12:36 2026,False
16,2.430517,7.769251999999999,7.7195089999999995,704.5012,-1.78736,0.4009721,-82.8987,0.3762022,-83.0477,0.08814269000000001,-5.87885,dc_LayGtKttmmTtVt_13,Lay,Sat Mar 21 21:12:24 2026,False
17,1.981463,7.8049990000000005,7.877419,701.8462,-1.77846,2.065175,-67.7466,2.3068630000000003,-71.2736,0.130338,-5.8408,dc_LayGtKttmmTtVt_12,Lay,Sat Mar 21 21:12:11 2026,False
18,1.959904,7.616807,7.497257,699.8831,-1.78488,2.843604,-53.1915,2.872767,-50.847,0.1599071,-5.40907,dc_LayGtKttmmTtVt_11,Lay,Sat Mar 21 21:11:58 2026,False
19,2.147734,7.004962,6.9416,702.8831,-1.80777,16.687350000000002,-18.4164,16.25545,-17.189700000000002,0.36043149999999996,-3.6746600000000003,dc_LayGtKttmmTtVt_10,Lay,Sat Mar 21 21:11:45 2026,True
20,2.452,7.7819519999999995,7.7237420000000006,713.3659,-1.78795,0.2956581,-87.9304,0.27487839999999997,-86.6488,0.07734942,-5.93751,dc_LayGtKttmmTtVt_9,Lay,Sat Mar 21 21:11:32 2026,False
21,3.136311,4.56155,4.63926,726.8189000000001,-1.8605399999999999,196.61669999999998,-26.132299999999997,194.3588,-26.59,2.132794,-1.5315400000000001,dc_LayGtKttmmTtVt_8,Lay,Sat Mar 21 21:11:16 2026,False
22,1.767856,7.433344,7.505688999999999,695.8054,-1.79054,7.798133999999999,-30.4394,7.956665,-33.4553,0.2475297,-4.75244,dc_LayGtKttmmTtVt_7,Lay,Sat Mar 21 21:10:58 2026,False
23,1.9898770000000001,7.303766,7.33948,702.5918,-1.79516,13.65999,-23.2806,13.77941,-23.878899999999998,0.336578,-3.9859099999999996,dc_LayGtKttmmTtVt_6,Lay,Sat Mar 21 21:10:44 2026,True
