,i1_25,a1,a_avg,v_ctat_25,a_ctat,i1_err_max,i1_err_min,i2_err_max,i2_err_min,v_ctat_err_max,v_ctat_err_min,name,type,time,OK
0,1.711315,5.190976,5.1442879999999995,709.3945,-1.77685,2.5412779999999997,-28.3052,2.723733,-28.872,0.1609475,-4.332,dc_SchGtKfsTlVh,Sch,Wed Mar 18 22:38:53 2026,True
1,1.716144,5.040187,5.009511000000001,709.7114,-1.78502,4.802599,-25.345599999999997,4.823962,-25.435599999999997,0.23268139999999998,-4.2314,dc_SchGtKsfTlVh,Sch,Wed Mar 18 22:38:52 2026,True
2,1.974971,5.9384559999999995,5.889329,709.5856,-1.78246,3.540129,-30.272799999999997,3.624081,-30.6513,0.1778071,-4.21673,dc_SchGtKffTlVh,Sch,Wed Mar 18 22:38:52 2026,False
3,1.5086400000000002,4.497276,4.465507,709.7502999999999,-1.76877,3.419172,-26.224,3.46541,-26.3765,0.2093249,-4.48254,dc_SchGtKssTlVh,Sch,Wed Mar 18 22:38:52 2026,True
4,1.711315,5.190976,5.1442879999999995,709.3945,-1.77685,2.5412779999999997,-28.3052,2.723733,-28.872,0.1609475,-4.332,dc_SchGtKfsThVh,Sch,Wed Mar 18 22:38:52 2026,True
5,1.716144,5.040187,5.009511000000001,709.7114,-1.78502,4.802599,-25.345599999999997,4.823962,-25.435599999999997,0.23268139999999998,-4.2314,dc_SchGtKsfThVh,Sch,Wed Mar 18 22:38:52 2026,True
6,1.974971,5.9384559999999995,5.889329,709.5856,-1.78246,3.540129,-30.272799999999997,3.624081,-30.6513,0.1778071,-4.21673,dc_SchGtKffThVh,Sch,Wed Mar 18 22:38:52 2026,False
7,1.5086400000000002,4.497276,4.465507,709.7502999999999,-1.76877,3.419172,-26.224,3.46541,-26.3765,0.2093249,-4.48254,dc_SchGtKssThVh,Sch,Wed Mar 18 22:38:52 2026,True
8,1.670049,4.997898,4.93957,707.7577,-1.78555,4.718468,-26.900599999999997,4.948818,-27.5451,0.2352117,-4.309130000000001,dc_SchGtKfsTlVl,Sch,Wed Mar 18 22:38:52 2026,True
9,1.676032,5.058101,5.0153,708.1518,-1.7839399999999999,5.439192,-43.706199999999995,5.343592,-43.8074,0.06331429000000001,-5.13787,dc_SchGtKsfTlVl,Sch,Wed Mar 18 22:38:52 2026,False
10,1.928805,5.6501980000000005,5.587638,707.9813,-1.79409,6.4802979999999994,-22.637,6.665889999999999,-23.1189,0.2469949,-3.9513200000000004,dc_SchGtKffTlVl,Sch,Wed Mar 18 22:38:52 2026,True
11,1.470969,4.36695,4.325064,708.083,-1.7752700000000001,4.844136,-23.0236,4.907537,-23.1669,0.2584481,-4.34671,dc_SchGtKssTlVl,Sch,Wed Mar 18 22:38:51 2026,True
12,1.670049,4.997898,4.93957,707.7577,-1.78555,4.718468,-26.900599999999997,4.948818,-27.5451,0.2352117,-4.309130000000001,dc_SchGtKfsThVl,Sch,Wed Mar 18 22:38:51 2026,True
13,1.676032,5.058101,5.0153,708.1518,-1.7839399999999999,5.439192,-43.706199999999995,5.343592,-43.8074,0.06331429000000001,-5.13787,dc_SchGtKsfThVl,Sch,Wed Mar 18 22:38:51 2026,False
14,1.928805,5.6501980000000005,5.587638,707.9813,-1.79409,6.4802979999999994,-22.637,6.665889999999999,-23.1189,0.2469949,-3.9513200000000004,dc_SchGtKffThVl,Sch,Wed Mar 18 22:38:51 2026,True
15,1.470969,4.36695,4.325064,708.083,-1.7752700000000001,4.844136,-23.0236,4.907537,-23.1669,0.2584481,-4.34671,dc_SchGtKssThVl,Sch,Wed Mar 18 22:38:51 2026,True
