,gm_db,pm_deg,lf_gain,f_ug,name,type,time,OK
0,-18.51899,82.11222,35.00837,5.593954999999999,lstb_LayGtKfsTlVh,Lay,Sat Mar 21 20:56:33 2026,True
1,-18.39023,84.76792,32.04622,1.9804959999999998,lstb_LayGtKsfTlVh,Lay,Sat Mar 21 20:56:30 2026,False
2,-18.50362,80.92947,34.36686,5.794163999999999,lstb_LayGtKffTlVh,Lay,Sat Mar 21 20:56:28 2026,True
3,-18.51074,85.16092,32.7648,2.053465,lstb_LayGtKssTlVh,Lay,Sat Mar 21 20:56:25 2026,False
4,-17.94742,77.13374,32.71622,21.76726,lstb_LayGtKfsThVh,Lay,Sat Mar 21 20:56:22 2026,True
5,-17.76321,81.47255,32.75809,17.03767,lstb_LayGtKsfThVh,Lay,Sat Mar 21 20:56:19 2026,True
6,-17.81575,68.21773,32.65062,24.92219,lstb_LayGtKffThVh,Lay,Sat Mar 21 20:56:17 2026,True
7,-17.86747,83.12553,33.19963,15.68859,lstb_LayGtKssThVh,Lay,Sat Mar 21 20:56:14 2026,True
8,-28.3847,86.63248,30.23345,0.31565809999999994,lstb_LayGtKfsTlVl,Lay,Sat Mar 21 20:56:12 2026,False
9,-29.08614,87.30583,28.45302,0.04314426,lstb_LayGtKsfTlVl,Lay,Sat Mar 21 20:56:09 2026,False
10,-28.1444,87.00285,29.323,0.2491951,lstb_LayGtKffTlVl,Lay,Sat Mar 21 20:56:06 2026,False
11,-29.83085,87.82853,28.67971,0.054100279999999994,lstb_LayGtKssTlVl,Lay,Sat Mar 21 20:56:04 2026,False
12,-18.21327,80.88571,32.77947,14.903609999999999,lstb_LayGtKfsThVl,Lay,Sat Mar 21 20:56:01 2026,True
13,-17.94369,83.65244,31.73486,10.814779999999999,lstb_LayGtKsfThVl,Lay,Sat Mar 21 20:55:58 2026,True
14,-18.20346,79.1131,32.28809,16.41777,lstb_LayGtKffThVl,Lay,Sat Mar 21 20:55:56 2026,True
15,-18.05941,81.86134,32.67811,10.3303,lstb_LayGtKssThVl,Lay,Sat Mar 21 20:55:53 2026,True
