,gm_db,pm_deg,lf_gain,f_ug,name,type,time,OK
0,-18.35463,83.195,33.62276,7.2347019999999995,lstb_LayGtKttmmTtVt_29,Lay,Sat Mar 21 20:57:05 2026,True
1,-18.29764,86.66414,32.97402,6.929857999999999,lstb_LayGtKttmmTtVt_28,Lay,Sat Mar 21 20:57:03 2026,True
2,-18.31235,85.06885,33.47956,7.3194729999999995,lstb_LayGtKttmmTtVt_27,Lay,Sat Mar 21 20:57:01 2026,True
3,-18.30258,84.3783,33.4958,7.560080999999999,lstb_LayGtKttmmTtVt_26,Lay,Sat Mar 21 20:56:59 2026,True
4,-18.35195,82.83808,33.828,7.663260999999999,lstb_LayGtKttmmTtVt_25,Lay,Sat Mar 21 20:56:57 2026,True
5,-18.34036,81.42761,34.09016,7.832488,lstb_LayGtKttmmTtVt_24,Lay,Sat Mar 21 20:56:54 2026,True
6,-18.30624,83.34065,33.81214,7.96538,lstb_LayGtKttmmTtVt_23,Lay,Sat Mar 21 20:56:52 2026,True
7,-18.33886,81.86943,34.15715,8.102466999999999,lstb_LayGtKttmmTtVt_22,Lay,Sat Mar 21 20:56:50 2026,True
8,-18.3034,85.6392,33.13375,6.958989,lstb_LayGtKttmmTtVt_21,Lay,Sat Mar 21 20:56:48 2026,True
9,-18.26596,87.70756,32.75409,6.932436999999999,lstb_LayGtKttmmTtVt_20,Lay,Sat Mar 21 20:56:46 2026,True
10,-18.35324,81.8558,33.86665,7.449471,lstb_LayGtKttmmTtVt_19,Lay,Sat Mar 21 20:56:43 2026,True
11,-18.32378,82.65564,33.75057,7.7351469999999996,lstb_LayGtKttmmTtVt_18,Lay,Sat Mar 21 20:56:41 2026,True
12,-18.33288,82.52948,34.012,7.916245,lstb_LayGtKttmmTtVt_17,Lay,Sat Mar 21 20:56:39 2026,True
13,-18.3109,84.35561,33.35405,7.238754999999999,lstb_LayGtKttmmTtVt_16,Lay,Sat Mar 21 20:56:37 2026,True
14,-18.31946,83.45055,33.70591,7.422797999999999,lstb_LayGtKttmmTtVt_15,Lay,Sat Mar 21 20:56:34 2026,True
15,-18.34289,81.59012,33.96168,7.852405999999999,lstb_LayGtKttmmTtVt_14,Lay,Sat Mar 21 20:56:31 2026,True
16,-18.31034,83.43515,33.64379,7.409917999999999,lstb_LayGtKttmmTtVt_13,Lay,Sat Mar 21 20:56:29 2026,True
17,-18.31382,84.95054,33.45145,7.218432,lstb_LayGtKttmmTtVt_12,Lay,Sat Mar 21 20:56:26 2026,True
18,-18.30446,85.5456,33.31753,7.206138999999999,lstb_LayGtKttmmTtVt_11,Lay,Sat Mar 21 20:56:23 2026,True
19,-18.31688,85.00645,33.31594,7.371302,lstb_LayGtKttmmTtVt_10,Lay,Sat Mar 21 20:56:21 2026,True
20,-18.34624,81.43221,34.23365,7.872153,lstb_LayGtKttmmTtVt_9,Lay,Sat Mar 21 20:56:18 2026,True
21,-18.36337,79.36986,34.46329,8.207589,lstb_LayGtKttmmTtVt_8,Lay,Sat Mar 21 20:56:15 2026,True
22,-18.29874,87.25124,32.88873,6.962409999999999,lstb_LayGtKttmmTtVt_7,Lay,Sat Mar 21 20:56:13 2026,True
23,-18.33481,84.18581,33.336,7.236485,lstb_LayGtKttmmTtVt_6,Lay,Sat Mar 21 20:56:10 2026,True
24,-18.30399,86.12237,32.82726,6.8884669999999995,lstb_LayGtKttmmTtVt_5,Lay,Sat Mar 21 20:56:07 2026,True
25,-18.35727,81.03739,34.11207,7.874327999999999,lstb_LayGtKttmmTtVt_4,Lay,Sat Mar 21 20:56:04 2026,True
26,-18.33717,81.8164,33.95405,7.643649,lstb_LayGtKttmmTtVt_3,Lay,Sat Mar 21 20:56:02 2026,True
27,-18.30728,81.56635,34.15488,8.02592,lstb_LayGtKttmmTtVt_2,Lay,Sat Mar 21 20:55:59 2026,True
28,-18.38908,80.71164,34.40265,7.961855,lstb_LayGtKttmmTtVt_1,Lay,Sat Mar 21 20:55:56 2026,True
29,-18.30334,88.02419,32.22545,6.201611,lstb_LayGtKttmmTtVt,Lay,Sat Mar 21 20:55:53 2026,True
