,gm_db,pm_deg,lf_gain,f_ug,name,type,time,OK
0,-17.82044,68.44563,37.64224,6.712643,lstb_SchGtKfsTlVh,Sch,Tue Feb 10 19:04:25 2026,True
1,-26.72316,83.3221,35.51542,2.333708,lstb_SchGtKsfTlVh,Sch,Tue Feb 10 19:04:25 2026,False
2,-17.89579,69.34093,36.81267,7.071084,lstb_SchGtKffTlVh,Sch,Tue Feb 10 19:04:24 2026,True
3,-25.45853,82.76147,35.53621,2.171451,lstb_SchGtKssTlVh,Sch,Tue Feb 10 19:04:24 2026,False
4,-12.41924,43.24515,33.9707,24.6814,lstb_SchGtKfsThVh,Sch,Tue Feb 10 19:04:24 2026,False
5,-15.09755,53.9378,34.64874,20.9586,lstb_SchGtKsfThVh,Sch,Tue Feb 10 19:04:24 2026,True
6,-12.05936,40.90054,34.26482,28.98715,lstb_SchGtKffThVh,Sch,Tue Feb 10 19:04:24 2026,False
7,-16.78449,57.8014,35.43169,19.61544,lstb_SchGtKssThVh,Sch,Tue Feb 10 19:04:24 2026,True
8,-28.81844,87.96496,32.28608,0.2750864,lstb_SchGtKfsTlVl,Sch,Tue Feb 10 19:04:24 2026,False
9,-33.67638,89.08443,29.45374,0.04010293,lstb_SchGtKsfTlVl,Sch,Tue Feb 10 19:04:24 2026,False
10,-28.76793,87.99456,31.94092,0.2352018,lstb_SchGtKffTlVl,Sch,Tue Feb 10 19:04:24 2026,False
11,-34.0001,89.36329,29.8727,0.04736336,lstb_SchGtKssTlVl,Sch,Tue Feb 10 19:04:24 2026,False
12,-13.54579,49.21506,35.10073,18.765349999999998,lstb_SchGtKfsThVl,Sch,Tue Feb 10 19:04:24 2026,True
13,-15.04041,55.14798,34.93507,14.607149999999999,lstb_SchGtKsfThVl,Sch,Tue Feb 10 19:04:23 2026,True
14,-13.14803,47.01627,34.96174,22.024079999999998,lstb_SchGtKffThVl,Sch,Tue Feb 10 19:04:23 2026,True
15,-15.71331,58.23636,35.18519,12.75343,lstb_SchGtKssThVl,Sch,Tue Feb 10 19:04:23 2026,True
