,gm_db,pm_deg,lf_gain,f_ug,name,type,time,OK
0,-20.25704,63.87556,36.15407,14.07714,lstb_SchGtKttmmTtVt_29,Sch,Sat Feb 28 00:15:41 2026,True
1,-20.3273,62.35258,36.69074,14.167919999999999,lstb_SchGtKttmmTtVt_28,Sch,Sat Feb 28 00:15:40 2026,True
2,-20.23309,66.11243,35.6933,13.135299999999999,lstb_SchGtKttmmTtVt_27,Sch,Sat Feb 28 00:15:38 2026,True
3,-20.23546,66.66883,35.53955,12.71384,lstb_SchGtKttmmTtVt_26,Sch,Sat Feb 28 00:15:36 2026,True
4,-20.20834,64.91188,35.9221,13.46575,lstb_SchGtKttmmTtVt_25,Sch,Sat Feb 28 00:15:35 2026,True
5,-20.32129,63.2245,36.40741,14.113019999999999,lstb_SchGtKttmmTtVt_24,Sch,Sat Feb 28 00:15:33 2026,True
6,-20.21458,65.28825,35.65832,13.45999,lstb_SchGtKttmmTtVt_23,Sch,Sat Feb 28 00:15:31 2026,True
7,-20.27052,61.65353,36.65177,14.48761,lstb_SchGtKttmmTtVt_22,Sch,Sat Feb 28 00:15:30 2026,True
8,-20.38384,61.85302,36.75674,14.41301,lstb_SchGtKttmmTtVt_21,Sch,Sat Feb 28 00:15:28 2026,True
9,-20.21743,65.76091,35.62579,13.19234,lstb_SchGtKttmmTtVt_20,Sch,Sat Feb 28 00:15:26 2026,True
10,-20.25226,65.1629,35.84938,13.270399999999999,lstb_SchGtKttmmTtVt_19,Sch,Sat Feb 28 00:15:25 2026,True
11,-20.33019,62.02353,36.71014,14.238299999999999,lstb_SchGtKttmmTtVt_18,Sch,Sat Feb 28 00:15:23 2026,True
12,-20.27445,64.5049,36.01774,13.644699999999998,lstb_SchGtKttmmTtVt_17,Sch,Sat Feb 28 00:15:21 2026,True
13,-20.29046,61.92636,36.575,14.45744,lstb_SchGtKttmmTtVt_16,Sch,Sat Feb 28 00:15:19 2026,True
14,-20.24677,65.46347,35.89914,13.40353,lstb_SchGtKttmmTtVt_15,Sch,Sat Feb 28 00:15:17 2026,True
15,-20.26827,63.02874,36.40629,14.009699999999999,lstb_SchGtKttmmTtVt_14,Sch,Sat Feb 28 00:15:15 2026,True
16,-20.29919,61.91319,36.80856,14.4649,lstb_SchGtKttmmTtVt_13,Sch,Sat Feb 28 00:15:13 2026,True
17,-20.25704,66.60716,35.64153,12.927349999999999,lstb_SchGtKttmmTtVt_12,Sch,Sat Feb 28 00:15:11 2026,True
18,-20.19779,69.97811,34.61176,11.99305,lstb_SchGtKttmmTtVt_11,Sch,Sat Feb 28 00:15:09 2026,True
19,-20.17802,68.56406,34.92347,12.53806,lstb_SchGtKttmmTtVt_10,Sch,Sat Feb 28 00:15:07 2026,True
20,-20.2103,67.8406,35.30163,12.54223,lstb_SchGtKttmmTtVt_9,Sch,Sat Feb 28 00:15:05 2026,True
21,-20.29612,63.7723,36.2474,13.84653,lstb_SchGtKttmmTtVt_8,Sch,Sat Feb 28 00:15:03 2026,True
22,-20.2965,64.34547,36.12205,13.59863,lstb_SchGtKttmmTtVt_7,Sch,Sat Feb 28 00:15:02 2026,True
23,-20.29057,62.10694,36.63949,14.15969,lstb_SchGtKttmmTtVt_6,Sch,Sat Feb 28 00:14:59 2026,True
24,-20.24479,64.08882,36.07398,13.68816,lstb_SchGtKttmmTtVt_5,Sch,Sat Feb 28 00:14:58 2026,True
25,-20.29224,63.14827,36.51554,14.00929,lstb_SchGtKttmmTtVt_4,Sch,Sat Feb 28 00:14:56 2026,True
26,-20.27669,63.32601,36.4947,13.93,lstb_SchGtKttmmTtVt_3,Sch,Sat Feb 28 00:14:54 2026,True
27,-20.20691,70.69782,34.45769,11.83753,lstb_SchGtKttmmTtVt_2,Sch,Sat Feb 28 00:14:52 2026,True
28,-20.32347,63.27587,36.40363,13.82437,lstb_SchGtKttmmTtVt_1,Sch,Sat Feb 28 00:14:50 2026,True
29,-20.33297,60.12475,37.08373,15.063239999999999,lstb_SchGtKttmmTtVt,Sch,Sat Feb 28 00:14:48 2026,True
